file,prefecture,date,hospital,hotel,home,nowhere
000824885.xlsx,東京都,2021-08-25,4154,2025,25139,10050
000822531.xlsx,東京都,2021-08-18,3815,1810,22210,12362
000819111.xlsx,東京都,2021-08-11,3667,1770,19388,10864
000817470.xlsx,東京都,2021-08-04,3399,1817,14777,9710
000814855.xlsx,東京都,2021-07-28,2995,1834,7348,4167
000811805.xlsx,東京都,2021-07-21,2466,1798,4068,2064
000807716.xlsx,東京都,2021-07-14,2023,1696,1840,1305
000804452.xlsx,東京都,2021-07-07,1677,1412,1099,747
000801103.xlsx,東京都,2021-06-30,1553,1134,954,793
000798094.xlsx,東京都,2021-06-23,1301,881,712,696
000795024.xlsx,東京都,2021-06-02,1932,988,1176,590
000795022.xlsx,東京都,2021-06-09,1626,767,835,511
000795020.xlsx,東京都,2021-06-16,1346,778,680,598
000787595.xlsx,東京都,2021-05-26,2241,1052,1409,794
000783157.xlsx,東京都,2021-05-19,2421,1176,1929,820
000779837.xlsx,東京都,2021-05-12,2444,1182,2236,1327
000776985.xlsx,東京都,2021-05-05,2203,1465,2092,1092
000775968.xlsx,東京都,2021-04-28,1979,1503,1484,1167
000772807.xlsx,東京都,2021-04-21,1643,1320,1234,1078
000770254.xlsx,東京都,2021-04-14,1450,1058,840,797
000767733.xlsx,東京都,2021-04-07,1497,630,642,435
000767730.xlsx,東京都,2021-03-31,1528,818,640,835
000760411.xlsx,東京都,2021-03-24,1404,547,577,438
000756221.xlsx,東京都,2021-03-17,1286,501,556,449
000753067.xlsx,東京都,2021-03-10,1353,368,508,395
000749641.xlsx,東京都,2021-03-03,2244,425,936,694
000749622.xlsx,東京都,2021-02-24,1894,408,727,429
000749619.xlsx,東京都,2021-02-17,1566,385,495,491
000738342.xlsx,東京都,2021-02-10,2595,527,1191,1390
000735169.xlsx,東京都,2021-02-03,2924,607,3123,3027
000731216.xlsx,東京都,2021-01-27,2933,737,7151,5080
000731213.xlsx,東京都,2021-01-20,2957,876,9058,6419
000721104.xlsx,東京都,2021-01-13,3345,981,8540,6258
000721071.xlsx,東京都,2021-01-06,3134,924,5124,3223
000717220.xlsx,東京都,2020-12-30,2457,1107,3036,1603
000717219.xlsx,東京都,2020-12-23,2148,983,1895,953
