ID,名称,全国地方公共団体コード_ID,人口（男女総数）,人口（男性）,人口（女性）,2015年（平成27年）の人口（組替）（人）,5年間の人口増減数（人）,5年間の人口増減率（％）,人口性比,面積（km2）,人口密度（1km2当たり）,世帯数（世帯）,2015年（平成27年）の世帯数（組替）（世帯）,5年間の世帯増減数（世帯）,5年間の世帯増減率（％）
01,北海道,01000,5228885,2465581,2763304,5381733,-152848,-2.84013,89.22583,83424.44,66.7,2471140,2444810,26330,1.07698
02,青森県,02000,1238730,583541,655189,1308265,-69535,-5.31505,89.06453,9645.64,128.4,510943,510945,-2,-3.9E-4
03,岩手県,03000,1211206,583082,628124,1279594,-68388,-5.34451,92.82912,15275.01,79.3,492014,493049,-1035,-0.20992
04,宮城県,04000,2303487,1123010,1180477,2333899,-30412,-1.30306,95.13188,7282.29,316.3,979791,944720,35071,3.71232
05,秋田県,05000,960113,452479,507634,1023119,-63006,-6.15823,89.13489,11637.52,82.5,385422,388560,-3138,-0.8076
06,山形県,06000,1068696,516529,552167,1123891,-55195,-4.91106,93.54579,9323.15,114.6,398358,393396,4962,1.26132
07,福島県,07000,1834198,904062,930136,1914039,-79841,-4.17134,97.19675,13784.14,133.1,741400,737598,3802,0.51546
08,茨城県,08000,2868554,1431165,1437389,2916976,-48422,-1.66001,99.56699,6097.39,470.5,1181273,1124349,56924,5.06284
09,栃木県,09000,1934016,965058,968958,1974255,-40239,-2.03819,99.59751,6408.09,301.8,793753,763097,30656,4.01731
10,群馬県,10000,1940333,959689,980644,1973115,-32782,-1.66143,97.86314,6362.28,305,802343,773952,28391,3.66832
11,埼玉県,11000,7346836,3651934,3694902,7266534,80302,1.10509,98.8371,3797.75,1934.5,3153350,2971659,181691,6.11413
12,千葉県,12000,6287034,3117871,3169163,6222666,64368,1.03441,98.38153,5157.57,1219,2766999,2609132,157867,6.05056
14,神奈川県,14000,9240411,4587059,4653352,9126213,114198,1.25132,98.57537,2416.11,3824.5,4220233,3979277,240956,6.05527
15,新潟県,15000,2202358,1068840,1133518,2304264,-101906,-4.4225,94.29405,12583.96,175,864375,848150,16225,1.91299
16,富山県,16000,1035612,502845,532767,1066328,-30716,-2.88054,94.38366,4247.58,243.8,403538,391171,12367,3.16153
17,石川県,17000,1133294,549910,583384,1154008,-20714,-1.79496,94.2621,4186.21,270.7,468953,453368,15585,3.4376
18,福井県,18000,767433,374072,393361,786740,-19307,-2.45405,95.09636,4190.52,183.1,290983,279687,11296,4.0388
19,山梨県,19000,810427,397392,413035,834930,-24503,-2.93474,96.21267,4465.27,181.5,338333,330976,7357,2.22282
20,長野県,20000,2049683,1000961,1048722,2098804,-49121,-2.34043,95.44579,13561.56,151.1,830413,807108,23305,2.88747
21,岐阜県,21000,1979781,960625,1019156,2031903,-52122,-2.56518,94.25691,10621.29,186.4,778629,753212,25417,3.37448
21,岐阜県,21215,25291,12191,13100,27114,-1823,-6.72346,93.06107,221.98,113.9,9479,9640,-161,-1.67012
22,静岡県,22000,3635220,1791719,1843501,3700305,-65085,-1.75891,97.19111,7777.35,467.4,1479735,1429600,50135,3.50693
23,愛知県,23000,7546192,3762249,3783943,7483128,63064,0.84275,99.42668,5173.07,1458.7,3226067,3063833,162234,5.29513
24,三重県,24000,1771440,864629,906811,1815865,-44425,-2.44649,95.34831,5774.49,306.8,740870,720292,20578,2.8569
25,滋賀県,25000,1414248,697630,716618,1412916,1332,0.09427,97.35033,4017.38,352,570223,537550,32673,6.07813
26,京都府,26000,2579921,1231607,1348314,2610353,-30432,-1.16582,91.34423,4612.2,559.4,1188106,1152902,35204,3.05351
27,大阪府,27000,8842523,4236023,4606500,8839469,3054,0.03455,91.95752,1905.32,4641,4127283,3923887,203396,5.18353
28,兵庫県,28000,5469184,2600622,2868562,5534800,-65616,-1.18552,90.65943,8401.02,651,2398865,2315200,83665,3.61373
29,奈良県,29000,1325437,624160,701277,1364316,-38879,-2.84971,89.00335,3690.94,359.1,544225,530221,14004,2.64116
30,和歌山県,30000,923033,435090,487943,963579,-40546,-4.20785,89.1682,4724.65,195.4,394455,392332,2123,0.54112
31,鳥取県,31000,553847,264497,289350,573441,-19594,-3.41692,91.41075,3507.14,157.9,218964,216894,2070,0.95438
32,島根県,32000,671602,324394,347208,694352,-22750,-3.27644,93.4293,6707.89,100.1,269317,265008,4309,1.62599
33,岡山県,33000,1889607,908231,981376,1921525,-31918,-1.66108,92.54669,7114.33,265.6,798357,772977,25380,3.28341
34,広島県,34000,2801388,1357356,1444032,2843990,-42602,-1.49797,93.99764,8479.65,330.4,1241484,1211425,30059,2.48129
35,山口県,35000,1342987,636765,706222,1404729,-61742,-4.3953,90.16499,6112.54,219.7,597418,598834,-1416,-0.23646
36,徳島県,36000,719704,343287,376417,755733,-36029,-4.76742,91.19859,4146.75,173.6,307835,305754,2081,0.68061
37,香川県,37000,951049,459338,491711,976263,-25214,-2.58271,93.41625,1876.78,506.7,406464,398551,7913,1.98544
38,愛媛県,38000,1335694,633220,702474,1385262,-49568,-3.57824,90.14141,5676.19,235.3,600715,591972,8743,1.47693
39,高知県,39000,692065,326579,365486,728276,-36211,-4.97215,89.35472,7103.63,97.4,314873,319011,-4138,-1.29713
40,福岡県,40000,5138891,2430984,2707907,5101556,37335,0.73184,89.77354,4986.51,1030.6,2316011,2201037,114974,5.22363
41,佐賀県,41000,812013,384499,427514,832832,-20819,-2.49978,89.93834,2440.69,332.7,312111,302109,10002,3.31073
42,長崎県,42000,1313103,616927,696176,1377187,-64084,-4.65325,88.61653,4130.98,317.9,558372,560720,-2348,-0.41875
43,熊本県,43000,1739211,822599,916612,1786170,-46959,-2.62903,89.74342,7409.46,234.7,718364,704730,13634,1.93464
44,大分県,44000,1124597,533530,591067,1166338,-41741,-3.57881,90.26557,6340.76,177.4,488229,486535,1694,0.34818
45,宮崎県,45000,1070213,504853,565360,1104069,-33856,-3.06648,89.29762,7735.22,138.4,469690,462858,6832,1.47605
46,鹿児島県,46000,1589206,748401,840805,1648177,-58971,-3.57795,89.01006,9187.06,173,727135,724690,2445,0.33739
47,沖縄県,47000,1468410,722932,745478,1433566,34844,2.43058,96.97563,2282.59,643.3,612749,560424,52325,9.33668
